,train_r2,train_SRC,train_PCC,train_MI,train_MAE,test_r2,test_SRC,test_PCC,test_MI,test_MAE,test_accuracy,train_accuracy,test_recall,train_recall
Dummy Mean,0.0,0.0,0.0,0.01,2.12,-0.02,0.0,0.0,0.01,2.12,,,,
Dummy Median All,-0.25,0.0,0.0,0.01,1.83,-0.29,0.0,0.0,0.01,1.83,,,,
Dummy Median Nonzero,-0.06,0.0,0.0,0.0,1.93,-0.08,0.0,0.0,0.0,1.94,,,,
"Perfect Clasif., Mean Regr.",0.1,0.73,0.37,0.52,1.68,0.12,0.73,0.4,0.48,1.68,,,,
Lasso,0.59,0.67,0.78,4.42,1.1,0.45,0.61,0.7,3.07,1.23,,,,
Bounded Lasso,0.66,0.69,0.82,4.04,0.97,0.55,0.64,0.75,2.87,1.08,,,,
Logistic Regression Classifier,,,,,,,,,,,0.89,1.0,0.95,1.0
Bounded Lasso + LogReg,0.74,0.89,0.87,3.93,0.74,0.64,0.8,0.82,2.66,0.86,,,,
Ridge,0.56,0.66,0.76,4.42,1.12,0.42,0.6,0.69,3.07,1.23,,,,
Bounded Ridge,0.65,0.7,0.82,4.05,0.97,0.53,0.63,0.74,2.82,1.1,,,,
Bounded Ridge + LogReg,0.71,0.89,0.87,4.0,0.76,0.64,0.81,0.82,2.65,0.87,,,,
XGB Regressor,1.0,0.99,1.0,4.42,0.02,0.81,0.84,0.9,3.07,0.48,,,,
XGB Classifier,,,,,,,,,,,0.97,1.0,0.99,1.0
XGB Combined,1.0,1.0,1.0,4.42,0.0,0.81,0.9,0.91,3.04,0.43,,,,
FFNN (Regressor Only),0.94,0.91,0.97,4.42,0.34,0.74,0.77,0.88,3.07,0.69,,,,
